"SiteName","Year","Roughness_MEAN","SRI","TreeCount_W0","CostalDistance_m","area_hectare","DC"
"Site_1","2017",352,0.871614018,2.927272797,55927.50539,2.91821120922703,1
"Site_2","2018",352,0.871614018,2.927272797,55927.50539,2.91821120922703,2
"Site_3","2017",466,-0.400668876,6.558566093,1640.958379,9.2086697005261,1
"Site_4","2018",466,-0.400668876,6.558566093,1640.958379,9.2086697005261,2
"Site_5","2018",87,-0.242344797,9.542211533,14944.45865,1.97902620963173,1
"Site_6","2017",225,-0.156150078,6.450069427,4340.047472,7.38999916632942,1
"Site_7","2018",225,-0.156150078,6.450069427,4340.047472,7.38999916632942,2
"Site_8","2017",469,-0.047430563,4.413846016,3805.081767,0.779230065965196,1
"Site_9","2017",433,0.48558164,3.321052551,1430.919424,1.30198402023472,1
"Site_10","2018",170,-0.291510818,5.968420982,38.08144289,0.375758759206799,1
"Site_11","2018",194,-0.897060594,6.644907475,1442.162653,2.21809744961554,1
"Site_12","2017",243,0.938199837,6.420292377,17165.77868,5.62434557264265,1
"Site_13","2018",243,0.938199837,6.420292377,17165.77868,5.62434557264265,2
"Site_14","2018",208,-0.883571166,5.226250172,78383.42723,0.806456129502226,1
"Site_15","2017",300,0.894520769,2.753879309,52889.65008,2.7685991970862,1
"Site_16","2018",300,0.894520769,2.753879309,52889.65008,2.7685991970862,2
"Site_17","2018",200,-0.935819116,4.785714149,368.6970454,0.0685636467017402,1
"Site_18","2017",185,-0.596643166,4.066666603,83748.16988,0.218963422501012,1
"Site_19","2017",195,-0.42250044,6.324999809,24107.35144,0.429103144071226,1
"Site_20","2018",165,0.14010865,5.747008324,9445.720099,1.22183711007689,1
"Site_21","2017",264,0.978159864,3.903067589,2837.521457,2.54937891056253,1
"Site_22","2017",118,0.024507203,5.102631569,98478.00483,0.407606280453258,1
"Site_23","2017",400,0.560600896,5.507954597,25850.80221,0.86535981829219,1
"Site_24","2017",239,0.763302175,2.625333309,54307.16822,1.69432718858762,1
"Site_25","2018",239,0.763302175,2.625333309,54307.16822,1.69432718858762,2
"Site_26","2017",372,0.111931548,6.164705753,3406.92612,11.5589320922703,1
"Site_27","2018",372,0.111931548,6.164705753,3406.92612,11.5589320922703,2
"Site_28","2018",125,-0.62062289,7.254130363,17286.61771,4.63022148522865,1
"Site_29","2017",505,0.216319603,4.238536358,3861.50303,2.50670431525698,1
"Site_30","2018",505,0.216319603,4.238536358,3861.50303,2.50670431525698,2
"Site_31","2017",339,-0.259157749,6.328804493,2516.555361,2.1129226495346,1
"Site_32","2017",135,0.165321833,5.367742062,97577.1712,0.294039213273978,1
"Site_33","2018",176,-0.815301484,9.005063057,309.7116864,1.72615540226629,1
"Site_34","2017",185,0.223011723,3.582276583,2009.880197,7.51038474301902,1
"Site_35","2018",185,0.223011723,3.582276583,2009.880197,7.51038474301902,2
"Site_36","2018",173,0.652508605,5.283333302,26015.38698,0.149713876568191,1
"Site_37","2018",149,0.294312314,5.671257496,6734.986756,1.78427060218535,1
"Site_38","2017",197,-0.904833582,5.096774101,20247.65593,0.972692760825577,1
"Site_39","2018",303,-0.87707542,3.551886797,53544.53342,1.05326901295022,1
"Site_40","2017",334,0.337535142,5.968944073,842.6933727,1.74832989194658,1
"Site_41","2018",334,0.337535142,5.968944073,842.6933727,1.74832989194658,2
"Site_42","2017",143,-0.972126143,3.760526419,7107.290024,1.37938890934844,1
"Site_43","2018",143,-0.972126143,3.760526419,7107.290024,1.37938890934844,2
"Site_44","2017",217,0.243861782,3.300990105,51434.07362,1.01907864589235,1
"Site_45","2018",217,0.243861782,3.300990105,51434.07362,1.01907864589235,2
"Site_46","2018",114,-0.26934626,7.869999886,1096.888674,0.0967262990692027,1
"Site_47","2017",134,0.922458616,5.333333492,77775.36963,0.229703925940915,1
"Site_48","2017",297,0.896074225,5.007127762,78132.3494,4.84527624443545,1
"Site_49","2018",297,0.896074225,5.007127762,78132.3494,4.84527624443545,2
"Site_50","2018",247,0.644943646,4.94140625,700.1826756,1.30221456090652,1
"Site_51","2018",396,0.856905541,NA,89071.11162,0.11520428976123,1
"Site_52","2017",292,0.974078272,5.432203293,1888.165248,1.79159614245245,1
"Site_53","2017",462,0.829867045,4.263082504,71026.01806,2.88892236746257,1
"Site_54","2018",462,0.829867045,4.263082504,71026.01806,2.88892236746257,2
"Site_55","2017",294,0.72794316,5.156766891,1900.381026,3.63044068231485,1
"Site_56","2018",294,0.72794316,5.156766891,1900.381026,3.63044068231485,2
"Site_57","2017",235,0.078927962,NA,57303.00803,9.26546828409551,1
"Site_58","2018",295,-0.742553426,3.488372087,58172.62144,1.31122196479158,1
