"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_1",0,0,0,0,1.04,0,0,0,0.17,0,0.02,0.85,0,0,0,0.02,0,0.07,0.04,0,0,0.47,0.48,0.12,0.53,0,0,0,0.04,0,0,0,0,0,0.61,0.02,0,0,0.03,0,0,0.02,2.16,0.12,0,0,0.05,0.09,0,0,0,0,0.14,0.67,0,0,0,0,0,0,0,0,0.06,0,0,0.59,0,0,1.07,0,0.17,0.03,0.3,0,0,0,0,0,0.26,0,0,0,0,0,0.22,0,0.4,0,0,0
"Site_2",0.21,0.66,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.03,0,0,0.2,1.4,0,0,0,0,0.01,0.27,0.4,0,0,0.62,0,0.15,0.06,0,0,0,0.12,0.24,0.67,0,0,0,0,0,0,0,0,0,0.78,0.43,0,0,0.14,1.45,0,0,0.04,0,0.75,0,0,0,0,0.08,0,0,0.3,0.14,0.02,0,0,0,1.12,0.08,0,0.35,0,0,0.1,0,0.24,0,0,0,0.95,0,0,0,0
"Site_3",0,0,0,0,1.27,0.02,0,0,0.49,0,0,0.79,0,0,0,0,0,0.18,0.14,0,0,0.21,0.78,0,0.73,0,0,0,0,0,0,0,0,0,0.92,0,0,0.08,0.24,0,0,0,2.04,0.35,0,0,0.06,0.22,0,0,0,0,0.26,1.46,0,0,0,0.03,0,0.03,0.13,0.08,0.19,0.09,0.05,1.32,0,0,0.76,0,0.22,0.37,0.07,0,0,0,0,0,0.28,0,0.09,0.22,0,0,0.1,0,0.13,0,0,0
"Site_4",0.02,0.93,0.21,0,0,0,0,0,0,0,0.01,0,0,0.05,0,0.19,0.54,0,0,0.01,1.81,0,0,0,0,0,0.11,0.61,0,0,0.51,0.07,0,0.14,0,0.34,0.01,0.03,0.3,0.59,0,0,0,0,0,0,0,0,0.08,0.35,1.07,0,0,0.1,1.52,0,0,0.07,0,0.11,0.23,0,0,0.02,0.05,0,0,0.09,0.18,0.08,0,0,0,0.68,0.24,0,0.46,0,0,0,0,0.3,0.02,0,0,0.57,0,0,0,0
"Site_5",0.04,0.69,0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0.23,0.46,0,0,0.01,2.02,0.01,0,0,0,0,0.13,0.68,0.01,0,0.45,0.11,0.02,0.23,0,0.23,0.06,0.04,0.23,0.53,0,0,0,0,0,0,0,0,0.04,0.28,1.18,0.01,0,0.06,2.11,0,0,0,0,0.2,0.31,0,0,0,0.09,0,0,0.09,0.05,0.12,0,0,0,0.92,0.34,0,0.42,0,0,0.02,0,0.27,0.07,0,0,0.7,0,0,0,0
"Site_6",0,0,0,0,1.49,0.02,0,0,0.64,0,0,0.94,0,0,0,0,0,0.26,0.16,0,0,0.28,1.04,0,0.65,0,0,0,0,0,0,0,0,0,0.94,0,0,0.12,0.33,0,0,0,2.39,0.38,0,0,0.07,0.3,0,0,0,0,0.25,1.6,0,0,0,0.04,0,0.03,0.15,0.12,0.27,0.1,0.05,1.36,0,0,0.84,0,0.25,0.62,0.13,0,0,0,0,0,0.34,0.01,0.16,0.21,0,0,0.14,0,0.19,0,0,0.02
"Site_7",0.04,1.05,0.2,0,0,0,0,0,0,0,0.03,0,0,0.04,0,0.21,0.57,0,0,0.01,2.43,0,0,0,0,0,0.12,0.73,0,0,0.59,0.16,0,0.19,0,0.39,0.02,0.03,0.47,0.55,0.02,0,0,0,0,0,0,0,0.06,0.31,1.23,0.01,0,0.17,1.77,0,0,0.04,0,0.09,0.24,0,0,0.02,0.02,0,0,0.1,0.45,0.08,0,0,0,0.82,0.24,0,0.81,0,0,0,0,0.33,0.03,0,0,1.15,0,0,0,0
"Site_8",0,0,0,0,1.45,0.02,0,0,0.62,0,0,0.92,0,0,0,0,0,0.25,0.17,0,0,0.26,0.99,0,0.66,0,0,0,0,0,0,0,0,0,0.94,0,0,0.12,0.32,0,0,0,2.36,0.38,0,0,0.07,0.29,0,0,0,0,0.26,1.57,0,0,0,0.04,0,0.03,0.15,0.11,0.26,0.1,0.05,1.38,0,0,0.83,0,0.24,0.57,0.13,0,0,0,0,0,0.33,0,0.15,0.22,0,0,0.13,0,0.19,0,0,0.02
"Site_9",0,0,0,0,1.47,0,0,0,0.94,0,0,1.19,0,0,0,0,0,0.42,0.14,0,0,0.44,0.91,0,0.81,0,0,0,0,0,0,0,0,0,0.84,0,0,0.06,0.08,0,0,0,2.13,0.19,0,0,0.15,0.35,0,0.03,0,0,0.41,1.41,0,0,0,0,0,0,0.15,0.12,0.26,0.07,0.04,1.33,0,0,0.93,0,0.27,0.41,0.37,0,0,0,0,0,0.37,0,0.08,0.1,0,0,0.21,0,0.42,0,0,0.02
"Site_10",0.04,0.59,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.24,0.09,0,0,0.02,1.61,0.04,0,0,0,0,0.08,0.65,0,0,0.87,0,0.06,0.24,0,0.16,0,0.16,0.44,0.35,0,0,0,0,0,0,0,0,0,0.5,0.7,0,0,0.23,1.3,0,0,0,0,0.61,0.04,0,0,0,0.16,0,0,0.18,0.09,0.07,0,0,0,1.14,0.06,0,0.39,0,0,0.06,0,0.21,0.02,0,0,1,0,0,0,0
"Site_11",0.04,0.99,0.15,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0.19,0.52,0,0,0.01,2.24,0,0,0,0,0,0.12,0.7,0,0,0.54,0.12,0,0.19,0,0.37,0.02,0.03,0.43,0.52,0.02,0,0,0,0,0,0,0,0.05,0.31,1.24,0.01,0,0.15,1.66,0,0,0.03,0,0.09,0.24,0,0,0.02,0.02,0,0,0.1,0.42,0.06,0,0,0,0.77,0.25,0,0.75,0,0,0,0,0.33,0.03,0,0,1.05,0,0,0,0
"Site_12",0.04,0,0,0,1.09,0.04,0,0,0.5,0,0,0.8,0,0,0,0,0,0.28,0.11,0,0,0.14,0.55,0,0.77,0,0,0,0,0,0,0,0,0,1.16,0,0,0.01,0.17,0,0,0,2.52,0.49,0,0,0.07,0.36,0,0,0,0,0.33,1.25,0,0,0,0.05,0,0.01,0.11,0.07,0.18,0.1,0.05,1.34,0,0,0.66,0,0.27,0.19,0.23,0,0,0,0.01,0,0.32,0.01,0.1,0.12,0,0,0.07,0,0.21,0,0,0.01
"Site_13",0.04,0.67,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0.26,0.43,0,0,0.02,1.77,0,0,0,0,0,0.11,0.66,0.01,0,0.49,0.08,0.02,0.22,0,0.24,0.05,0.02,0.22,0.52,0,0,0,0,0,0,0,0,0.05,0.29,1.21,0,0,0.06,2.14,0,0,0,0,0.18,0.27,0,0,0,0.1,0,0,0.1,0.05,0.1,0,0,0,0.91,0.33,0,0.41,0,0,0.02,0,0.27,0.06,0,0,0.62,0,0,0,0
"Site_14",0.14,0.72,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0.07,0.02,0,0,0.19,1.64,0.04,0,0,0,0.01,0.2,0.51,0.02,0,0.57,0.02,0.17,0.04,0,0,0.06,0.11,0.36,0.65,0.03,0,0,0,0,0,0.02,0,0.02,0.64,0.68,0.06,0,0.12,1.56,0.01,0,0.13,0,0.67,0.04,0,0,0.01,0.21,0.04,0,0.27,0.13,0.04,0,0,0,1.17,0.13,0,0.34,0,0,0.06,0,0.25,0.06,0,0.04,0.76,0.08,0,0,0
"Site_15",0,0,0,0,1.13,0,0,0,0.25,0,0.07,0.79,0,0,0,0,0,0.11,0.03,0,0,0.48,0.61,0.14,0.43,0,0,0,0.03,0,0,0,0,0,0.6,0,0,0,0,0.02,0,0,2.05,0.2,0,0,0.16,0.13,0,0,0,0,0.3,1.11,0,0,0,0,0,0,0,0.01,0.16,0,0,0.6,0,0.01,1,0,0.14,0,0.45,0,0,0,0,0,0.37,0,0.01,0,0,0,0.25,0,0.49,0,0,0
"Site_16",0.18,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.02,0,0,0.13,1.47,0,0,0,0,0,0.16,0.6,0,0,0.98,0,0.19,0.06,0,0,0,0.14,0.59,0.53,0,0,0,0,0,0,0,0,0.01,0.75,0.69,0,0,0.21,1.74,0,0,0.02,0,0.69,0.02,0,0,0,0.02,0,0,0.34,0.23,0.03,0,0,0,1.25,0.06,0,0.37,0,0.01,0.1,0,0.28,0,0,0.05,0.7,0.01,0,0.04,0
"Site_17",0.04,0.83,0.06,0,0,0,0,0,0,0,0.02,0,0,0,0,0.18,0.44,0,0,0.01,2.73,0,0,0,0,0,0.11,0.75,0,0,0.49,0.07,0,0.23,0,0.3,0.03,0.03,0.24,0.47,0.03,0,0,0,0,0,0.02,0,0.04,0.25,1,0.02,0,0.16,1.83,0,0,0,0,0.14,0.26,0,0,0.02,0.05,0,0,0.1,0.32,0.07,0,0,0,0.75,0.31,0,0.82,0,0,0,0,0.28,0.04,0,0,1.07,0,0,0,0
"Site_18",0,0,0,0,0.89,0,0.04,0,0.23,0,0.04,0.97,0.04,0,0,0.09,0,0.08,0.2,0.05,0,0.52,0.51,0.1,0.44,0.02,0,0,0.04,0,0,0,0.02,0,0.9,0,0,0.01,0.15,0.02,0,0.02,2.17,0.37,0,0,0.07,0.06,0,0,0,0,0.26,0.71,0,0,0,0.02,0,0,0,0,0.09,0,0.02,0.49,0,0.05,1.02,0,0.17,0.06,0.15,0,0,0,0,0.04,0.18,0,0.04,0.06,0.07,0,0.23,0,0.42,0,0,0.02
"Site_19",0,0,0,0,1.14,0.05,0,0,0.47,0,0,0.9,0,0,0,0,0,0.31,0.09,0,0,0.12,0.55,0.01,0.76,0,0,0,0,0,0,0,0,0,1.19,0,0,0.02,0.17,0,0,0,2.51,0.48,0,0,0.08,0.34,0,0,0,0,0.3,1.3,0,0,0,0.08,0,0.02,0.1,0.06,0.17,0.11,0.04,1.29,0,0,0.69,0,0.29,0.18,0.22,0,0,0,0,0,0.3,0.02,0.15,0.13,0,0,0.04,0,0.2,0,0,0
"Site_20",0.05,0.76,0.08,0,0,0,0,0,0,0,0.02,0,0,0,0,0.25,0.44,0,0,0.01,2.39,0.02,0,0,0,0,0.13,0.72,0,0,0.53,0.05,0.02,0.22,0,0.28,0.03,0.03,0.34,0.54,0.01,0,0,0,0,0,0,0,0.03,0.27,1.19,0,0,0.09,2.16,0,0,0,0,0.11,0.26,0,0,0.01,0.09,0,0,0.08,0.14,0.12,0,0,0,0.84,0.3,0,0.64,0,0,0.02,0,0.28,0.03,0,0,0.74,0,0,0,0
"Site_21",0.01,0,0,0,1.49,0.02,0,0,0.69,0,0,0.95,0,0,0,0,0,0.28,0.16,0,0,0.23,1,0,0.64,0,0,0,0,0,0,0,0,0,0.96,0,0,0.13,0.32,0,0,0,2.52,0.4,0,0,0.08,0.31,0,0,0,0,0.25,1.63,0,0,0,0.04,0,0.03,0.16,0.11,0.26,0.11,0.05,1.39,0,0,0.85,0,0.25,0.61,0.15,0,0,0,0,0,0.35,0.01,0.18,0.2,0,0,0.14,0,0.18,0,0,0.01
