"SiteName","-30","-29","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59"
"Site_1",0.1,0.2,0.22,0.25,0,0.74,0.91,0.54,0.07,0.19,0.26,0.02,0.48,0.31,0.21,0.21,0.26,0.21,0.05,0.52,0.45,0.06,0.03,0.24,0.21,0.3,0.14,0.14,0.13,0.12,0.19,0.17,0.16,0.16,0.1,0.37,0.23,0.24,0.16,0.3,0.32,0.02,0.07,0.13,0.24,0.24,0.1,0.09,0.22,0.15,0.6,0.81,0,0.01,0.39,0.52,0.28,0.49,0.39,0.75,0.64,0.5,0.07,0.27,0.24,0.01,0.28,0.21,0.14,0.18,0.12,0.04,0,0.65,0.54,0.14,0,0.14,0.02,0.15,0,0.08,0.06,0.45,0,0.29,0,0.12,0.75,0.05
"Site_2",0.06,0.02,0.02,0.31,0.27,0.15,0.44,0.3,0.22,0.26,0.23,0.27,0.3,0.22,0.26,0.18,0.16,0.86,0.42,0.16,0.04,0,0.33,0.55,0.77,0.64,0.31,0,0.16,0.46,0,0.06,0.2,0.14,0.12,0.14,0.79,0.33,0.03,0,0.5,0.29,0.25,0.2,0.22,0.33,0.42,0.39,0.38,0.23,0.26,0.47,0.71,0.03,0.02,0.63,0.25,0.31,0.26,0.21,0.27,0.43,0.22,0.39,0.15,0,0.41,0.42,0,0.09,0.76,0.48,0.36,0,0.23,0.32,0.06,0.41,0.51,0.24,0.33,0.17,0.16,0.4,0.26,0,0.9,0.59,0.37,0.34
"Site_3",0.19,0.88,0.95,0.65,0.16,0.4,1.01,1.26,0.05,0.23,0.21,0,0.3,1.04,0.31,0.49,0.7,0.14,0.08,0.62,0.56,0.11,0,0.5,0.24,1.03,0.51,0.27,0.23,0.29,0.36,0.34,0.25,0.31,0.04,0.2,0.28,0.27,0,0.25,0.55,0.21,0,0,0.42,0.27,0.15,0.02,0.26,0.19,0.87,1.01,0.03,0,0.27,0.74,0.79,1.05,0.36,0.37,0.21,0.08,0,0,0.37,0.14,0.04,0.61,0.01,0.34,0.39,0,0,0.25,1.2,0.08,0.24,0.01,0.09,0.16,0.26,0,0,1.45,0.1,0.19,0,0.01,1.46,0.18
"Site_4",0.17,0,0,0.8,0.69,0.37,0.33,0.5,0.36,0.4,0.2,0.47,0.3,0.31,0.35,0.18,0.01,0.33,0.41,0.05,0,0,0.47,0.44,0.65,0.79,0.42,0,0.01,0.64,0.03,0.01,0.73,0.03,0.11,0.11,0.1,0.42,0,0.01,0.24,0.7,0.32,0.27,0.41,0.87,0.61,0.98,0.15,0.3,0.04,0.33,0.44,0,0,1.42,0.38,0.52,0.71,0,0.01,0.74,0.59,0.39,0.22,0.07,0.81,0.1,0.01,0.01,1.67,1.32,0.83,0.03,0,0.34,0.02,0.56,1.18,0.43,0.74,0.18,0.12,0.56,1.15,0.03,0.37,0.81,0.72,0.93
"Site_5",0.28,0.03,0,0.7,0.28,0.27,0.27,0.35,0.27,0.25,0.24,0.26,0.28,0.11,0.18,0.15,0.05,0.69,0.29,0.09,0.02,0.08,0.3,0.4,0.55,0.65,0.35,0.03,0,0.28,0.12,0.01,0.26,0.09,0.07,0.12,0.46,0.41,0.02,0.05,0.55,0.56,0.26,0.2,0.24,0.54,0.55,0.47,0.33,0.25,0.21,0.42,0.6,0.09,0.01,0.68,0.29,0.4,0.44,0.17,0.11,0.58,0.5,0.3,0.11,0.03,0.28,0.14,0.05,0.04,1.27,0.93,0.6,0.14,0.2,0.21,0.05,0.66,0.74,0.4,0.42,0.23,0.24,0.27,0.4,0.15,0.83,0.74,0.41,0.44
"Site_6",0.12,0.8,0.94,0.65,0.05,0.3,0.95,1.21,0.03,0.17,0.12,0,0.16,0.98,0.28,0.45,0.73,0.12,0.03,0.57,0.54,0.12,0,0.36,0.23,1.05,0.52,0.26,0.24,0.32,0.36,0.33,0.24,0.39,0.02,0.16,0.25,0.25,0.01,0.13,0.57,0.16,0,0,0.39,0.23,0.12,0.01,0.29,0.18,0.74,1.03,0.02,0,0.12,0.69,0.84,0.67,0.25,0.33,0.13,0.07,0,0.01,0.38,0.08,0.02,0.65,0,0.32,0.22,0,0,0.17,1.2,0.08,0.2,0.01,0.03,0.13,0.19,0,0.01,1.45,0.04,0.1,0.01,0.01,1.54,0.14
"Site_7",0.11,0,0,0.81,0.74,0.35,0.28,0.51,0.36,0.41,0.15,0.49,0.29,0.16,0.25,0.11,0.01,0.2,0.43,0.04,0,0,0.46,0.39,0.6,0.74,0.45,0,0.01,0.69,0.05,0.01,0.83,0.01,0.08,0.06,0.02,0.4,0,0,0.12,0.67,0.3,0.24,0.4,0.9,0.58,1.07,0.02,0.27,0.01,0.29,0.36,0,0,1.42,0.37,0.46,0.67,0,0,0.7,0.54,0.34,0.12,0.05,0.88,0.05,0.01,0.01,1.61,1.28,0.8,0.01,0,0.36,0.01,0.53,1.19,0.46,0.74,0.12,0.08,0.54,1.14,0.02,0.3,0.78,0.72,1.01
"Site_8",0.09,0.75,0.88,0.58,0.04,0.2,0.82,1.17,0.03,0.12,0.11,0,0.14,0.95,0.28,0.41,0.69,0.12,0.03,0.53,0.5,0.12,0,0.35,0.23,1.03,0.52,0.26,0.24,0.31,0.37,0.33,0.24,0.39,0.02,0.16,0.25,0.25,0.01,0.12,0.54,0.14,0,0,0.39,0.25,0.13,0.01,0.27,0.18,0.72,1.03,0.03,0,0.12,0.69,0.8,0.56,0.24,0.36,0.15,0.07,0,0.01,0.38,0.06,0.02,0.64,0,0.31,0.19,0,0,0.17,1.2,0.07,0.18,0.01,0.04,0.1,0.15,0,0.01,1.44,0.04,0.11,0.01,0.01,1.52,0.13
"Site_9",0.36,0.4,0.54,0.69,0,0.65,0.99,0.69,0.06,0.33,0.33,0,0.5,0.77,0.29,0.44,0.45,0.1,0.14,0.77,0.48,0.09,0.03,0.45,0.19,0.41,0.51,0.33,0.21,0.22,0.37,0.33,0.23,0.43,0.14,0.34,0.34,0.3,0.11,0.58,0.53,0.13,0.01,0.07,0.51,0.36,0.16,0.02,0.12,0.11,1.15,1.01,0.07,0.04,0.48,0.79,0.56,0.81,0.7,0.46,0.44,0.19,0.02,0.13,0.29,0.02,0.15,0.38,0.07,0.23,0.02,0.01,0,0.41,0.85,0.11,0.01,0.02,0.02,0.07,0,0.01,0.04,1.36,0,0.26,0,0.02,0.66,0.19
"Site_10",0.05,0.01,0.02,0.34,0.31,0.27,0.39,0.27,0.29,0.26,0.15,0.25,0.31,0.14,0.11,0.07,0.02,1.03,0.3,0.11,0.06,0,0.3,0.82,0.68,0.63,0.24,0.01,0.1,0.32,0.01,0.06,0.25,0.04,0.06,0.03,0.54,0.3,0,0,0.74,0.74,0.23,0.23,0.26,0.26,0.76,0.48,0.64,0.24,0.32,0.55,0.71,0.07,0.05,0.93,0.28,0.35,0.63,0.07,0.08,0.64,0.26,0.28,0.01,0.1,0.49,0.07,0.01,0.04,1.04,1.17,0.67,0.03,0.04,0.13,0,0.64,0.74,0.3,0.25,0.03,0.12,0.33,0.32,0.01,1.33,0.91,0.53,0.48
